条形码,登录号,读者条码,外借时间,应归还时间,主键码,虚拟库室,续借次数,处理时间,流通库室键码,签到键码,附件,备注
10774382,10774382,9.6E+11,2015/6/13 17:38,2015/7/13 23:59,626742,27,0,,0,0,,
11119478,11119478,9.6E+11,2015/6/13 17:38,2015/7/13 23:59,434476,27,0,,0,0,,
10938816,10938816,1.31402E+11,2015/4/29 17:42,2015/7/30 23:59,671522,8,2,,0,0,,
10801544,10801544,1.4141E+11,2015/6/26 17:23,2015/7/27 23:59,306211,8,0,,0,0,,
10338763,10338763,1.4141E+11,2015/6/26 17:24,2015/7/27 23:59,302880,8,0,,0,0,,
10882555,10882555,9903557,2014/11/12 17:30,2014/12/12 23:59,664077,7,0,,0,0,,
10073155,10073155,1.4141E+11,2015/6/26 17:24,2015/7/27 23:59,101853,8,0,,0,0,,
10987988,10987988,9903557,2014/11/12 17:30,2014/12/12 23:59,693558,7,0,,0,0,,
10928680,10928680,1.21409E+11,2015/6/26 17:26,2015/7/27 23:59,628120,27,0,,0,0,,
10979952,10979952,1.31413E+11,2015/6/13 17:40,2015/7/13 23:59,685912,8,0,,0,0,,
11421190,11421190,1.31413E+11,2015/6/13 17:40,2015/7/13 23:59,350064,8,0,,0,0,,
11421155,11421155,1.31413E+11,2015/6/13 17:41,2015/7/13 23:59,350063,8,0,,0,0,,
11482601,11482601,1.31413E+11,2015/6/13 17:41,2015/7/13 23:59,392371,8,0,,0,0,,
10212541,10212541,1.2141E+11,2015/4/8 10:58,2015/7/9 23:59,262475,8,2,,0,0,,
11122379,11122379,1.21404E+11,2015/6/26 18:06,2015/7/27 23:59,436146,27,0,,0,0,,
11059418,11059418,1.41416E+11,2015/6/26 17:59,2015/7/27 23:59,437721,27,0,,0,0,,
10857710,10857710,1.41425E+11,2015/6/26 18:04,2015/7/27 23:59,626064,27,0,,0,0,,
11421208,11421208,1.31413E+11,2015/6/13 17:41,2015/7/13 23:59,350065,8,0,,0,0,,
11482600,11482600,1.31413E+11,2015/6/13 17:41,2015/7/13 23:59,392370,8,0,,0,0,,
10914458,10914458,1.41407E+11,2015/6/13 17:43,2015/7/13 23:59,631154,27,0,,0,0,,
10948262,10948262,1.21406E+11,2015/4/29 17:53,2015/5/29 23:59,671521,8,0,,0,0,,
11122378,11122378,1.21404E+11,2015/6/26 18:06,2015/7/27 23:59,436146,27,0,,0,0,,
10799288,10799288,1.31416E+11,2015/5/31 17:34,2015/7/31 23:59,693035,8,1,,0,0,,
11105425,11105425,1.31415E+11,2015/5/19 9:45,2015/6/29 23:59,404532,8,1,,0,0,,
10795393,10795393,1.31415E+11,2015/5/19 9:45,2015/6/29 23:59,691161,8,1,,0,0,,
10731318,10731318,1.41408E+11,2015/6/13 17:49,2015/7/13 23:59,668780,8,0,,0,0,,
11233245,11233245,1.21403E+11,2015/6/13 17:50,2015/7/13 23:59,710693,27,0,,0,0,,
10753915,10753915,1.21403E+11,2015/6/13 17:51,2015/7/13 23:59,627453,27,0,,0,0,,
10918479,10918479,1.21404E+11,2015/5/31 17:35,2015/6/30 23:59,622899,27,0,,0,0,,
11086620,11086620,1.21412E+11,2015/6/13 17:52,2015/7/13 23:59,633771,8,0,,0,0,,
10617015,10617015,1.31532E+11,2015/5/27 18:57,2015/6/29 23:59,303165,8,1,,0,0,,
10986130,10986130,1.41419E+11,2015/6/13 17:57,2015/7/13 23:59,693167,8,0,,0,0,,
11126751,11126751,1.21404E+11,2015/6/26 18:43,2015/7/27 23:59,437170,27,0,,0,0,,
10940742,10940742,1.31416E+11,2015/6/13 17:58,2015/7/13 23:59,683800,8,0,,0,0,,
10943150,10943150,1.21413E+11,2015/6/13 17:58,2015/7/13 23:59,676393,8,0,,0,0,,
10891414,10891414,1.21413E+11,2015/6/13 17:59,2015/7/13 23:59,669082,8,0,,0,0,,
11055311,11055311,1.21404E+11,2015/5/31 17:35,2015/6/30 23:59,431078,27,0,,0,0,,
11118038,11118038,1.21415E+11,2015/5/23 10:37,2015/6/22 23:59,433818,27,0,,0,0,,
11123221,11123221,1.21402E+11,2014/6/24 16:37,2015/12/28 23:59,436368,8,0,,0,0,,
11127348,11127348,1.21415E+11,2015/5/23 10:38,2015/6/22 23:59,437307,27,0,,0,0,,
11049897,11049897,1.41415E+11,2015/6/26 18:56,2015/7/27 23:59,428029,27,0,,0,0,,
11079105,11079105,1.31418E+11,2015/6/26 19:24,2015/7/27 23:59,634785,8,0,,0,0,,
200230062,200230062,1.41518E+11,2015/4/11 11:26,2015/6/22 23:59,124070,8,2,,0,0,,
10751912,10751912,1.41406E+11,2015/6/26 19:42,2015/7/27 23:59,625958,27,0,,0,0,,
10765782,10765782,1.31416E+11,2015/6/26 19:42,2015/7/27 23:59,626977,27,0,,0,0,,
11414529,11414529,1.31413E+11,2015/6/13 18:05,2015/7/13 23:59,349263,8,0,,0,0,,
11210504,11210504,1.41419E+11,2014/12/29 16:18,2015/3/23 23:59,368330,8,1,,0,0,,
10826741,10826741,9903144,2015/6/6 16:15,2015/9/4 23:59,340204,8,2,,0,0,,
711193,711193,1.21403E+11,2015/6/6 15:47,2015/7/6 23:59,79508,8,0,,0,0,,
11404522,11404522,1.41419E+11,2014/12/29 16:18,2015/3/23 23:59,339157,8,1,,0,0,,
10471896,10471896,1.21414E+11,2015/6/15 20:05,2015/7/15 23:59,637830,7,0,,0,0,,
10968521,10968521,1.21414E+11,2015/6/15 20:05,2015/7/15 23:59,666507,7,0,,0,0,,
11105880,11105880,1.21414E+11,2015/6/15 20:05,2015/7/15 23:59,404762,7,0,,0,0,,
11107480,11107480,1.21403E+11,2015/6/6 15:47,2015/7/6 23:59,405086,8,0,,0,0,,
10358893,10358893,1.31419E+11,2015/5/25 19:05,2015/7/27 23:59,313370,8,1,,0,0,,
574623,574623,1.21413E+11,2015/6/16 9:16,2015/9/16 23:59,300538,7,2,,0,0,,
10751491,10751491,1.41416E+11,2015/5/30 16:52,2015/6/29 23:59,629129,27,0,,0,0,,
10474581,10474581,1.31419E+11,2015/5/25 19:05,2015/7/27 23:59,638254,8,1,,0,0,,
10146274,10146274,1.31419E+11,2015/5/25 19:05,2015/7/27 23:59,235418,8,1,,0,0,,
11125066,11125066,1.41404E+11,2015/6/6 16:51,2015/7/6 23:59,436614,8,0,,0,0,,
